QB,Overall,Player Team (Bye),ESPN,Yahoo,CBS,Sleeper,RTSports,AVG,Position,Scoring,RB,WR,TE
,243.0,Dyami Brown WAS (14),,,,,69.0,69.0,WR,standard,,85.0,
,248.0,Malachi Corley NYJ (12),,,,79.0,100.0,89.5,WR,standard,,86.0,
,278.0,Darius Slayton NYG (11),,,,95.0,84.0,89.5,WR,standard,,87.0,
,274.0,Andrei Iosivas CIN (12),,,,,77.0,77.0,WR,standard,,88.0,
,283.0,Jalin Hyatt NYG (11),,,,91.0,91.0,91.0,WR,standard,,89.0,
,269.0,DJ Chark Jr. LAC (5),,,,85.0,99.0,92.0,WR,standard,,90.0,
,270.0,Javon Baker NE (14),,,,84.0,,84.0,WR,standard,,91.0,
,273.0,Odell Beckham Jr. MIA (6),,,,87.0,101.0,94.0,WR,standard,,92.0,
,311.0,Jordan Whittington LAR (6),,,,,87.0,87.0,WR,standard,,93.0,
,298.0,Malik Washington MIA (6),,,,99.0,92.0,95.5,WR,standard,,94.0,
,314.0,Calvin Austin III PIT (9),,,,,89.0,89.0,WR,standard,,95.0,
,294.0,Brenden Rice LAC (5),,,,89.0,,89.0,WR,standard,,96.0,
,315.0,Noah Brown WAS (14),,,,,90.0,90.0,WR,standard,,97.0,
,296.0,Elijah Moore CLE (10),,,,90.0,,90.0,WR,standard,,98.0,
,305.0,Tre Tucker LV (10),,,,101.0,93.0,97.0,WR,standard,,99.0,
,307.0,Treylon Burks TEN (5),,,,100.0,95.0,97.5,WR,standard,,100.0,
,301.0,Devontez Walker BAL (14),,,,92.0,,92.0,WR,standard,,101.0,
,303.0,Zay Jones ARI (11),,,,94.0,,94.0,WR,standard,,102.0,
,320.0,Van Jefferson PIT (9),,,,,94.0,94.0,WR,standard,,103.0,
,304.0,Kendrick Bourne NE (14),,,,96.0,102.0,99.0,WR,standard,,104.0,
,317.0,Jonathan Mingo DAL (7),,,,103.0,96.0,99.5,WR,standard,,105.0,
,310.0,Albert Wilson,,,,97.0,,97.0,WR,standard,,106.0,
,327.0,K.J. Osborn WAS (14),,,,107.0,97.0,102.0,WR,standard,,107.0,
,330.0,Alec Pierce IND (14),,,,,98.0,98.0,WR,standard,,108.0,
,321.0,Kevin White,,,,102.0,,102.0,WR,standard,,109.0,
,335.0,Jalen Nailor MIN (6),,,,,103.0,103.0,WR,standard,,110.0,
,329.0,Zay Malone,,,,104.0,,104.0,WR,standard,,111.0,
,332.0,Josh Reynolds JAC (12),,,,105.0,,105.0,WR,standard,,112.0,
,342.0,Anthony Johnson,,,,108.0,,108.0,WR,standard,,113.0,
,343.0,A.T. Perry DEN (14),,,,109.0,,109.0,WR,standard,,114.0,
,28.0,Travis Kelce KC (6),,,1.0,1.0,2.0,1.3,TE,standard,,,1.0
,30.0,Sam LaPorta DET (5),,,2.0,2.0,1.0,1.7,TE,standard,,,2.0
,50.0,Mark Andrews BAL (14),,,3.0,4.0,5.0,4.0,TE,standard,,,3.0
,48.0,Trey McBride ARI (11),,,5.0,3.0,4.0,4.0,TE,standard,,,4.0
,49.0,Dalton Kincaid BUF (12),,,6.0,5.0,3.0,4.7,TE,standard,,,5.0
,62.0,George Kittle SF (9),,,4.0,6.0,8.0,6.0,TE,standard,,,6.0
,64.0,Kyle Pitts ATL (12),,,7.0,7.0,6.0,6.7,TE,standard,,,7.0
,72.0,Evan Engram JAC (12),,,10.0,8.0,7.0,8.3,TE,standard,,,8.0
,83.0,Jake Ferguson DAL (7),,,9.0,10.0,9.0,9.3,TE,standard,,,9.0
,88.0,David Njoku CLE (10),,,8.0,11.0,10.0,9.7,TE,standard,,,10.0
,90.0,Brock Bowers LV (10),,,11.0,9.0,11.0,10.3,TE,standard,,,11.0
,117.0,Dallas Goedert PHI (5),,,12.0,12.0,12.0,12.0,TE,standard,,,12.0
,126.0,Dalton Schultz HOU (14),,,14.0,13.0,15.0,14.0,TE,standard,,,13.0
,124.0,T.J. Hockenson MIN (6),,,17.0,14.0,13.0,14.7,TE,standard,,,14.0
,132.0,Cole Kmet CHI (7),,,13.0,16.0,16.0,15.0,TE,standard,,,15.0
,129.0,Pat Freiermuth PIT (9),,,16.0,15.0,14.0,15.0,TE,standard,,,16.0
,156.0,Luke Musgrave GB (10),,,18.0,17.0,18.0,17.7,TE,standard,,,17.0
,180.0,Isaiah Likely BAL (14),,,15.0,21.0,20.0,18.7,TE,standard,,,18.0
,183.0,Hunter Henry NE (14),,,19.0,22.0,21.0,20.7,TE,standard,,,19.0
,181.0,Tyler Conklin NYJ (12),,,21.0,23.0,19.0,21.0,TE,standard,,,20.0
,148.0,Taysom Hill NO (12) O,,,,18.0,17.0,17.5,TE,standard,,,21.0
,252.0,Zach Ertz WAS (14),,,20.0,32.0,29.0,27.0,TE,standard,,,22.0
,194.0,Cade Otton TB (11),,,,20.0,24.0,22.0,TE,standard,,,23.0
,195.0,Chig Okonkwo TEN (5),,,,24.0,22.0,23.0,TE,standard,,,24.0
,201.0,Ben Sinnott WAS (14),,,,19.0,28.0,23.5,TE,standard,,,25.0
,218.0,Jonnu Smith MIA (6),,,,28.0,23.0,25.5,TE,standard,,,26.0
,223.0,Noah Fant SEA (10),,,,25.0,26.0,25.5,TE,standard,,,27.0
,235.0,Juwan Johnson NO (12),,,,29.0,27.0,28.0,TE,standard,,,28.0
,238.0,Ja'Tavion Sanders CAR (11),,,,26.0,32.0,29.0,TE,standard,,,29.0
,241.0,Mike Gesicki CIN (12),,,,27.0,33.0,30.0,TE,standard,,,30.0
,251.0,Theo Johnson NYG (11) O,,,,30.0,31.0,30.5,TE,standard,,,31.0
,256.0,Greg Dulcich NYG (11),,,,33.0,30.0,31.5,TE,standard,,,32.0
,261.0,Hayden Hurst LAC (5),,,,41.0,25.0,33.0,TE,standard,,,33.0
,266.0,Colby Parkinson LAR (6),,,,31.0,34.0,32.5,TE,standard,,,34.0
,279.0,Dawson Knox BUF (12),,,,36.0,36.0,36.0,TE,standard,,,35.0
,297.0,Leroy Watson IV,,,,35.0,,35.0,TE,standard,,,36.0
,300.0,Daniel Bellinger NYG (11),,,,43.0,35.0,39.0,TE,standard,,,37.0
,306.0,Tucker Kraft GB (10),,,,37.0,,37.0,TE,standard,,,38.0
,293.0,Michael Mayer LV (10),,,,39.0,37.0,38.0,TE,standard,,,39.0
,308.0,O.J. Howard,,,,38.0,,38.0,TE,standard,,,40.0
,339.0,Nick Keizer,,,,42.0,,42.0,TE,standard,,,41.0
,340.0,Mo Alie-Cox IND (14),,,,44.0,,44.0,TE,standard,,,42.0
,344.0,Jason Witten,,,,45.0,,45.0,TE,standard,,,43.0
,345.0,Vernon Davis,,,,46.0,,46.0,TE,standard,,,44.0
