Unnamed: 0_level_0,Unnamed: 1_level_0,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RECEIVING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC,Position,Scoring
Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,,
1,George Kittle (SF),56,67,800,14.3,43,15,8,0,0,0,0,11,128.0,11.6,99.1%,TE,standard
2,Brock Bowers (LV),87,118,933,10.7,57,12,4,4,14,0,0,13,118.7,9.1,98.2%,TE,standard
3,Jonnu Smith (MIA),61,78,692,11.3,57,3,5,2,-1,0,0,13,99.1,7.6,58.6%,TE,standard
4,Trey McBride (ARI),80,106,851,10.6,37,6,0,1,2,1,0,12,97.3,8.1,98.5%,TE,standard
5,Tucker Kraft (GB),39,54,521,13.4,67,6,7,2,4,0,1,13,94.5,7.3,45.2%,TE,standard
6,Mark Andrews (BAL),43,51,490,11.4,38,4,7,2,4,0,0,13,91.4,7.0,89.5%,TE,standard
7,Taysom Hill (NO),23,31,187,8.1,34,2,0,39,278,6,1,8,80.3,10.0,27.5%,TE,standard
8,Cade Otton (TB),57,84,576,10.1,44,7,4,1,-4,0,1,13,79.2,6.1,60.6%,TE,standard
9,Travis Kelce (KC),80,107,682,8.5,38,8,2,1,1,0,1,13,78.3,6.0,99.5%,TE,standard
10,Zach Ertz (WAS),52,75,501,9.6,25,6,4,0,0,0,0,13,78.1,6.0,54.5%,TE,standard
11,David Njoku (CLE),56,87,439,7.8,29,3,5,0,0,0,0,10,77.9,7.8,91.2%,TE,standard
12,Pat Freiermuth (PIT),44,50,470,10.7,30,7,5,0,0,0,1,13,75.0,5.8,54.8%,TE,standard
13,Sam LaPorta (DET),36,51,445,12.4,52,7,5,0,0,0,0,12,74.5,6.2,95.7%,TE,standard
14,Kyle Pitts (ATL),36,60,508,14.1,52,6,3,0,0,0,0,13,68.8,5.3,80.3%,TE,standard
15,Hunter Henry (NE),58,83,610,10.5,35,4,1,0,0,0,0,13,67.0,5.2,47.7%,TE,standard
16,Cole Kmet (CHI),42,50,448,10.7,31,7,3,0,0,0,0,13,64.8,5.0,52.2%,TE,standard
17,Noah Gray (KC),35,41,399,11.4,35,6,4,0,0,0,0,13,63.9,4.9,19.1%,TE,standard
18,Isaiah Likely (BAL),33,47,384,11.6,49,4,4,0,0,0,1,12,60.4,5.0,41.5%,TE,standard
19,Dallas Goedert (PHI),38,46,441,11.6,61,7,2,0,0,0,0,9,56.1,6.2,64.6%,TE,standard
20,Mike Gesicki (CIN),42,55,460,11.0,47,5,2,0,0,0,1,13,56.0,4.3,22.0%,TE,standard
21,Juwan Johnson (NO),34,44,363,10.7,30,6,3,0,0,0,0,13,54.3,4.2,9.8%,TE,standard
22,Austin Hooper (NE),31,42,337,10.9,38,3,3,0,0,0,1,13,49.7,3.8,0.7%,TE,standard
23,Dalton Schultz (HOU),41,64,424,10.3,32,4,1,0,0,0,0,13,48.4,3.7,48.6%,TE,standard
24,Will Dissly (LAC),43,55,418,9.7,29,5,1,0,0,0,0,13,47.8,3.7,39.9%,TE,standard
25,Dalton Kincaid (BUF),34,59,356,10.5,28,4,2,0,0,0,0,10,47.6,4.8,71.8%,TE,standard
26,Foster Moreau (NO),19,27,263,13.8,41,5,3,0,0,0,0,13,44.3,3.4,1.2%,TE,standard
27,Tyler Conklin (NYJ),36,54,317,8.8,27,5,2,1,0,0,0,13,43.7,3.4,13.1%,TE,standard
28,Evan Engram (JAC),47,64,365,7.8,24,2,1,0,0,0,1,9,42.5,4.7,85.3%,TE,standard
