Unnamed: 0_level_0,Unnamed: 1_level_0,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,PASSING,RUSHING,RUSHING,RUSHING,MISC,MISC,MISC,MISC,MISC,Position,Scoring
Rank,Player,CMP,ATT,PCT,YDS,Y/A,TD,INT,SACKS,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST,,
73,Tanner Mordecai (SF),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
74,Chris Oladokun (KC),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
75,Devin Leary (BAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
76,Tanner McKee (PHI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
77,Austin Reed (CHI),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,QB,half-ppr
78,Carter Bradley (LV),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
79,Jack Plummer (CAR),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
80,Jason Bean (IND),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
81,John Rhys Plumlee (SEA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
82,Jordan Travis (NYJ),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.1%,QB,half-ppr
83,Joe Milton III (NE),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1%,QB,half-ppr
84,Adrian Martinez (NYJ),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
85,Sam Howell (SEA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,1.3%,QB,half-ppr
86,J.J. McCarthy (MIN),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,2.0%,QB,half-ppr
87,Malik Cunningham (BAL),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0%,QB,half-ppr
88,Sam Hartman (WAS),0,0,0.0,0,0.0,0,0,0,0,0,0,0,2,0.0,0.0,0.0%,QB,half-ppr
89,Jaren Hall (SEA),0,0,0.0,0,0.0,0,0,0,0,0,0,0,1,0.0,0.0,0.0%,QB,half-ppr
